Product Name,ASIN,Rating,# of Reviews,Department,Department Tree,Keepa Link,Pricing Pattern
"The Summer I Turned Pretty (Summer I Turned Pretty, The)",1416968296,4.5,37405,Books,Books > Teen & Young Adult > Literature & Fiction,https://keepa.com/#!product/1-1416968296,2
VALORANT $50 Gift Card - PC [Online Game Code],B088GD6JH7,4.6,13174,Video Games,Video Games > Digital for the Holidays > Digital Video Games,https://keepa.com/#!product/1-B088GD6JH7,0
"Huggies Natural Care Sensitive Baby Wipes, Unscented, Hypoallergenic, 99% Purified Water, 12 Flip-Top Packs (768 Wipes Total)",B07SCL613T,4.9,49672,Baby,Baby Products > Diapering > Wipes & Holders > Wipes & Refills,https://keepa.com/#!product/1-B07SCL613T,1
"Simple Modern Disney Princesses Kids Water Bottle with Straw Lid | Reusable Insulated Stainless Steel Cup for Girls, School | Summit Collection | 14oz, Princess Rainbows",B094W9TGQG,4.8,8957,Kitchen & Dining,Home & Kitchen > Kitchen & Dining > Storage & Organization > Thermoses > Insulated Beverage Containers > Thermoses,https://keepa.com/#!product/1-B094W9TGQG,3
"Amazon Basics Multipurpose Copy Printer Paper, 8.5"" x 11"", 20lb, 1 Ream (500 Sheets), 92 Bright",B01FV0F8H8,4.8,144335,Office Products,Office Products > Office & School Supplies > Paper > Copy & Printing Paper > Copy & Multipurpose Paper,https://keepa.com/#!product/1-B01FV0F8H8,2
Apple AirTag 4 Pack,B0932QJ2JZ,4.8,77752,Electronics,Electronics,https://keepa.com/#!product/1-B0932QJ2JZ,2
"USPECLARE Clear Backpack Stadium Approved 12×12×6,Clear Bag Clear Mini Backpack with Size 7.5""x2.8""x9"" for Girls, Waterproof Small Clear Backpack for Security Travel, Concert & Sport Events(Black)",B0893841YB,4.3,2592,Sports & Outdoors,"Sports & Outdoors > Fan Shop > Bags, Packs & Accessories > Backpacks",https://keepa.com/#!product/1-B0893841YB,1
Five Nights at Freddy's,B00N1HONIO,3.8,12204,Apps & Games,Apps & Games,https://keepa.com/#!product/1-B00N1HONIO,1
The Perfect Marriage: A Completely Gripping Psychological Suspense,B09C6LW4XW,4.3,107402,Kindle Store,Kindle Store > Kindle eBooks > Literature & Fiction,https://keepa.com/#!product/1-B09C6LW4XW,2
Fearless (Taylor's Version) [Gold 3 LP],B092YV2RYY,4.8,5152,CDs & Vinyl,CDs & Vinyl > Rock > Country Rock,https://keepa.com/#!product/1-B092YV2RYY,0
The 48 Laws of Power,0140280197,4.7,67782,Books,Books > Politics & Social Sciences > Politics & Government,https://keepa.com/#!product/1-0140280197,0
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",B09G9FPHY6,4.8,118256,Electronics,Electronics,https://keepa.com/#!product/1-B09G9FPHY6,3
"Neutrogena Cleansing Fragrance Free Makeup Remover Face Wipes, Cleansing Facial Towelettes for Waterproof Makeup, Alcohol-Free, Unscented, 100% Plant-Based Fibers, Twin Pack, 2 x 25 ct",B00U2VQZDS,4.8,94518,Beauty & Personal Care,Beauty & Personal Care > Skin Care > Face > Cleansers > Cloths & Towelettes,https://keepa.com/#!product/1-B00U2VQZDS,0
"Brita Elite Water Filter Replacements for Pitchers and Dispensers, Reduces 99% of Lead from Tap Water, Lasts 6 Months, 2 Count",B01MU7973W,4.6,41393,Tools & Home Improvement,Tools & Home Improvement > Kitchen & Bath Fixtures > Water Filtration & Softeners > Replacement Water Filters > Replacement Pitcher Water Filters,https://keepa.com/#!product/1-B01MU7973W,2
"LMNT Keto Electrolyte Powder Packets | Paleo Hydration Powder | No Sugar, No Artificial Ingredients | Variety Pack | 12 Stick Packs",B084HQ4DYQ,4.5,11202,Health & Household,Health & Household > Diet & Sports Nutrition > Sports Nutrition > Electrolyte Replacements,https://keepa.com/#!product/1-B084HQ4DYQ,2
"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",B08H3JPH74,4.5,122396,Beauty & Personal Care,Beauty & Personal Care > Makeup > Eyes > Mascara,https://keepa.com/#!product/1-B08H3JPH74,2
"LEVENIS KN95 Face Masks 50 Pack, Breathable Comfortable and Disposable KN95 Mask, Black",B08VJM6VZC,4.4,48051,Tools & Home Improvement,Tools & Home Improvement > Safety & Security > Personal Protective Equipment > Masks & Respirators > Respirators > Disposable Respirators,https://keepa.com/#!product/1-B08VJM6VZC,0
Runner's World,B001TP73UK,4.5,1753,Magazine Subscriptions,"Magazine Subscriptions > Sports, Recreation & Outdoors > Sports & Recreation > Running",https://keepa.com/#!product/1-B001TP73UK,3
TV Guide Magazine,B003N3QRF8,4.2,5509,Magazine Subscriptions,Magazine Subscriptions > Entertainment & Pop Culture > Television,https://keepa.com/#!product/1-B003N3QRF8,0
"D'Addario Guitar Strings - XL Nickel Electric Guitar Strings - EXL110-3D - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-46 Regular Light, 3-Pack",B000EEJ91I,4.8,37600,Musical Instruments,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Strings > Electric Guitar Strings,https://keepa.com/#!product/1-B000EEJ91I,3
"Bentgo® Kids Prints Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box - Ideal Portion Sizes for Ages 3 to 7 - BPA-Free, Dishwasher Safe, Food-Safe Materials (Dinosaur)",B08B115T54,4.7,56975,Home & Kitchen,Home & Kitchen > Home Décor Products > Kids' Room Décor > Backpacks & Lunch Boxes > Lunch Boxes,https://keepa.com/#!product/1-B08B115T54,0
"Invisible Glass 91164-2PK 19-Ounce Cleaner for Auto and Home for a Streak-Free Shine, Deep Cleaning Foaming Action, Safe for Tinted and Non-Tinted Windows, Ammonia Free Foam Glass Cleaner, Pack of 2",B07B4QDZHQ,4.7,33613,Automotive,Health & Household > Household Supplies > Household Cleaning > Glass Cleaners,https://keepa.com/#!product/1-B07B4QDZHQ,2
"Dr. Elsey's Precious Cat Ultra Cat Litter, 18 pound bag",B0009X0QSY,4.3,69328,Pet Supplies,Pet Supplies > Cats > Litter & Housebreaking > Litter,https://keepa.com/#!product/1-B0009X0QSY,2
GE Profile Opal 2.0 |Countertop Nugget Ice Maker with Side Tank|Portable Ice Machine w/ WiFi Connectivity|Smart Home Kitchen Essentials|Stainless Steel,B0964BF4N7,4.3,2607,Appliances,"Appliances > Refrigerators, Freezers & Ice Makers > Ice Makers",https://keepa.com/#!product/1-B0964BF4N7,1
I'm Glad My Mom Died,B09VHWC5YK,4.7,56652,Audible Books & Originals,Books > Biographies & Memoirs > Arts & Literature > Actors & Entertainers,https://keepa.com/#!product/1-B09VHWC5YK,0
"Surge Protector Power Strip - Extension Cord with 8 Widely Outlets 4 USB Ports, 3 Side Multi Plug Outlet Extender, Flat Plug, 5Ft, Wall Mount, Desk USB Charging Station for Home Office Dorm Room ETL",B092J8LPWR,4.8,26664,Electronics,Electronics > Accessories & Supplies > Power Strips & Surge Protectors > Power Strips,https://keepa.com/#!product/1-B092J8LPWR,0
Continental Gold Coin Collecting Metal Coin (5 pcs),B08F4WV572,4.8,534,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B08F4WV572,1
"Command Medium and Large Picture Hanging Strips, Damage Free Hanging Picture Hangers, No Tools Wall Hanging Strips for Back to School Dorm Organization, White, 12 Medium Pairs and 16 Large Pairs",B07P32RHQ4,4.7,21144,Tools & Home Improvement,Tools & Home Improvement > Hardware,https://keepa.com/#!product/1-B07P32RHQ4,2
The Band Poster 40th Anniversary of The Last Waltz 1976/2016 Signed by Bob Masse,B01IO2BE4Q,4.8,5,Entertainment Collectibles,Collectibles & Fine Art > Entertainment > Prints & Posters,https://keepa.com/#!product/1-B01IO2BE4Q,0
Fahrenheit 451,1451673310,4.6,48639,Books,Books > Politics & Social Sciences > Politics & Government,https://keepa.com/#!product/1-1451673310,1
Ring Chime,B09L45VFCN,4.7,25884,Amazon Devices & Accessories,Amazon Devices & Accessories,https://keepa.com/#!product/1-B09L45VFCN,0
"McAfee Total Protection 2023 | 3 Device | Cybersecurity Software Includes Antivirus, Secure VPN, Password Manager, Dark Web Monitoring | Amazon Exclusive 1 Year with Auto Renewal",B07K98XDX8,4.1,2904,Software,Software > Antivirus & Security > Antivirus,https://keepa.com/#!product/1-B07K98XDX8,3
"Sharpie Permanent Marker, Fine Point, Black, Pack of 5",B000I0TZO4,4.8,19187,Office Products,Office Products > Office & School Supplies > Writing & Correction Supplies > Markers & Highlighters > Permanent Markers,https://keepa.com/#!product/1-B000I0TZO4,2
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,1612681131,4.7,90714,Books,Books > Business & Money > Personal Finance,https://keepa.com/#!product/1-1612681131,3
"Tide Laundry Detergent Liquid Soap, High Efficiency (He), Original Scent, 64 Loads",B085V5PPP8,4.7,66159,Climate Pledge Friendly,Health & Household > Household Supplies > Laundry > Laundry Detergent > Liquid Detergent,https://keepa.com/#!product/1-B085V5PPP8,2
"The Original Donut Shop Keurig Single-Serve K-Cup Pods, Regular Medium Roast Coffee, 12 Count (Pack of 6)",B00I08JAYG,4.7,77274,Grocery & Gourmet Food,Grocery & Gourmet Food > Beverages > Coffee > Single-Serve Capsules & Pods,https://keepa.com/#!product/1-B00I08JAYG,1
"TP-Link AX1800 WiFi 6 Router (Archer AX21) – Dual Band Wireless Internet Router, Gigabit Router, USB port, Works with Alexa - A Certified for Humans Device",B08H8ZLKKK,4.5,15112,Computers & Accessories,Electronics > Computers & Accessories > Networking Products > Routers,https://keepa.com/#!product/1-B08H8ZLKKK,2
"Broan-NuTone 413001 Non-Ducted Ductless Range Hood with Lights Exhaust Fan for Under Cabinet, 30-Inch, White",B0002YTLZY,4.6,17815,Appliances,"Appliances > Ranges, Ovens & Cooktops > Range Hoods",https://keepa.com/#!product/1-B0002YTLZY,2
Sonic Jump,B00BFBSV72,4.1,2631,Apps & Games,Apps & Games,https://keepa.com/#!product/1-B00BFBSV72,1
The Task Ahead Challenge Coin Collector's Medallion,B07LF7XF2S,4.8,509,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B07LF7XF2S,2
Elvis Presley / 100 Assorted Collectible Cards - All Different!!!,B00P0HGVG0,4.7,19,Entertainment Collectibles,Collectibles & Fine Art > Entertainment > Trading Cards,https://keepa.com/#!product/1-B00P0HGVG0,0
Woman's World,B01EZ5SGZ6,4.6,2984,Magazine Subscriptions,"Kindle Store > Kindle Newsstand > Health, Fitness & Wellness > Women",https://keepa.com/#!product/1-B01EZ5SGZ6,1
"WaterWipes Plastic-Free Original Baby Wipes, 99.9% Water Based Wipes, Unscented & Hypoallergenic for Sensitive Skin, 720 Count (12 packs), Packaging May Vary",B008KJEYLO,4.7,69739,Health & Household,"Health & Household > Household Supplies > Tissues, Toilet Paper & Sprays > Personal Cleansing Wipes",https://keepa.com/#!product/1-B008KJEYLO,1
"Keepsmile 100ft Led Strip Lights (2 Rolls of 50ft) Bluetooth Smart App Control Music Sync Color Changing RGB Led Light Strip with Remote,Led Lights for Bedroom Room Home Decor Party Festival",B0B2D52FLK,4.4,37640,Tools & Home Improvement,Tools & Home Improvement > Lighting & Ceiling Fans > Novelty Lighting > LED Strip Lights,https://keepa.com/#!product/1-B0B2D52FLK,1
"Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant--Facial Exfoliant for Blackheads, Enlarged Pores, Wrinkles & Fine Lines, 4 oz Bottle",B00949CTQQ,4.5,88350,Beauty & Personal Care,Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Facial Peels,https://keepa.com/#!product/1-B00949CTQQ,3
"Anourney 8x21 Mini Compact Pocket Binoculars, Lightweight Foldable Binoculars,Easy Focus Small Binoculars for Adults Kids Bird Watching,Opera Concert, Travel, Hiking, Outdoor Scenery, Football Game",B0B1ZMW15Z,4.3,1256,Camera & Photo Products,Electronics > Camera & Photo > Binoculars & Scopes > Binoculars,https://keepa.com/#!product/1-B0B1ZMW15Z,3
"iHealth COVID-19 Antigen Rapid Test, 1 Pack, 2 Tests Total, FDA EUA Authorized OTC at-Home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",B09KZ6TBNY,4.5,203314,Industrial & Scientific,Industrial & Scientific > Professional Medical Supplies > Diagnostics & Screening > Laboratory Diagnostics > Clinical Diagnostic Test Kits,https://keepa.com/#!product/1-B09KZ6TBNY,2
"Amazon Basics Cotton Rounds, 100 Count (Previously Solimo)",B09542G9ZN,4.7,32637,Beauty & Personal Care,Beauty & Personal Care > Tools & Accessories > Cotton Balls & Swabs > Cotton Pads & Rounds,https://keepa.com/#!product/1-B09542G9ZN,1
"Milk-Bone Original Dog Biscuits, Medium Crunchy Dog Treats, 10 Pound",B000I82DTU,4.8,55343,Pet Supplies,"Pet Supplies > Dogs > Treats > Cookies, Biscuits & Snacks",https://keepa.com/#!product/1-B000I82DTU,2
"SmartyPants Kids Fiber Vitamins: Daily Kids Multivitamin Gummy for Overall Health with Vitamin A, B12, D3, E, & K & Omega 3 Fish Oil (DHA/EPA) - 120 Count (30 Day Supply)",B00CX6DM0O,4.6,64111,Unique Finds,Health & Household > Baby & Child Care > Health Care > Children's Vitamins,https://keepa.com/#!product/1-B00CX6DM0O,0
"Simply by MervFilters 20x20x1 MERV 8 Air Filter, 6 Pack",B07G2KT7FN,4.7,15233,Tools & Home Improvement,Tools & Home Improvement > Building Supplies > HVAC > Furnace Parts & Accessories > Furnace Filters,https://keepa.com/#!product/1-B07G2KT7FN,1
Motivational Wall Art - Office Wall Art & Decor Motivational poster - Positive Quotes Wall Decor - Encouragement Gifts - Positive Sayings for Wall Decor - Entrepreneur Wall Art - Inspirational Quotes,B09HN1G2F4,4.2,882,Handmade Products,Handmade Products > Home & Kitchen > Artwork > Prints,https://keepa.com/#!product/1-B09HN1G2F4,0
2023 USMC Prayer - Marine Corps Valor USMC Challenge Coin Prayer Coin - USMC Gift - Officially Licensed,B07YF2S4QF,4.9,806,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B07YF2S4QF,2
Carson MicroBrite Plus 60x-120x LED Lighted Pocket Microscope (MM-300),B00LAX52IQ,4.1,48498,Camera & Photo Products,Electronics > Camera & Photo > Binoculars & Scopes > Microscopes,https://keepa.com/#!product/1-B00LAX52IQ,3
"Command 20 Lb XL Heavyweight Picture Hanging Strips, Damage Free Hanging Picture Hangers, No Tools Heavy Duty Wall Hanging Strips for Back to School Dorm Organization, 8 White Adhesive Strip Pairs",B09XJC7JKZ,4.5,4391,Unique Finds,"Industrial & Scientific > Adhesives, Sealants & Lubricants > Adhesive Tapes > Picture Hanging Strips",https://keepa.com/#!product/1-B09XJC7JKZ,2
Lip Lightening for Dark Lips Lip Brightener for Smokers Dark Lip Treatment Lightening Cream for Pink Lips Lip Lightener for Smoker Lips Lip Lightening balm for Men and Women 10ml,B0B37JXX8Y,4.3,584,Handmade Products,Handmade Products > Beauty & Grooming > Skin Care > Lip Care > Balms & Moisturizers,https://keepa.com/#!product/1-B0B37JXX8Y,0
Over 50 DIFFERENT World Coins (1/2) Half Pound Grab Bag,B00BUB7TM0,4.1,1632,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B00BUB7TM0,1
"Apple EarPods Headphones with Lightning Connector. Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds for iPhone",B01M0GB8CC,4.6,206559,Electronics,Electronics,https://keepa.com/#!product/1-B01M0GB8CC,2
Watching You: A Novel,B07GDSWRCH,4.3,28773,Kindle Store,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",https://keepa.com/#!product/1-B07GDSWRCH,1
Hydro Flask Wide Mouth Bottle with Flex Cap Black 32 oz,B07YXM6XTF,4.8,27503,Sports & Outdoors,Sports & Outdoors > Sports & Outdoor Recreation Accessories > Sports Water Bottles,https://keepa.com/#!product/1-B07YXM6XTF,3
Microsoft System Builder | Windоws 11 Home | Intended use for new systems | Install on a new PC | Branded by Microsoft,B09MYJ1R6L,4.3,600,Software,Software > Microsoft > All Microsoft,https://keepa.com/#!product/1-B09MYJ1R6L,3
Born To Die [LP],B006ZWLXZ8,4.8,10346,CDs & Vinyl,CDs & Vinyl > Indie & Alternative > Indie & Lo-Fi > Indie Rock,https://keepa.com/#!product/1-B006ZWLXZ8,3
"4 Row Military Coin Holder, Challenge Coin Display Stand Holder Wooden,",B07XPT1D2N,4.6,109,Collectible Coins,Collectibles & Fine Art > Collectible Coins > Individual Coins,https://keepa.com/#!product/1-B07XPT1D2N,1
"Dell Laptop Charger 65W Watt USB Type C AC Power Adapter LA65NM190/HA65NM190/DA65NM190 Include Power Cord for Dell XPS 12 9250, XPS 13 9350 Compatible with XPS Series and Latitude 5000 Series",B09GHV6G55,4.6,395,Computers & Accessories,Electronics > Computers & Accessories > Laptop Accessories > Chargers & Adapters,https://keepa.com/#!product/1-B09GHV6G55,2
"Amazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, Unscented, 120 Count (Previously Solimo)",B093X8QQ12,4.7,73835,Health & Household,"Health & Household > Household Supplies > Paper & Plastic > Trash, Compost & Lawn Bags > Trash Bags",https://keepa.com/#!product/1-B093X8QQ12,1
Spider-Man II 30th Anniversary Trading Cards Pack,B08HLCG6PP,4.4,26,Entertainment Collectibles,Collectibles & Fine Art > Entertainment > Trading Cards,https://keepa.com/#!product/1-B08HLCG6PP,1
"TICONN 100 Pcs Solder Seal Wire Connectors, Heat Shrink Butt Connectors, Waterproof and Insulated Electrical Wire Terminals, Butt Splice (100PCS)",B07GDDKJ1D,4.5,15461,Industrial & Scientific,Industrial & Scientific > Industrial Electrical > Wiring & Connecting > Terminals > Butt,https://keepa.com/#!product/1-B07GDDKJ1D,2
"Amazon Basics Slim Velvet, Non-Slip Suit Clothes Hangers, Pack of 100, Black/Silver",B01MAZ6ZPN,4.8,176790,Home & Kitchen,Home & Kitchen > Storage & Organization > Clothing & Closet Storage > Clothes Hangers > Pants Hangers,https://keepa.com/#!product/1-B01MAZ6ZPN,3
